,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
80,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4
81,0.409,0.868,3,-6.236,0,0.0368,0.0266,0.0357,0.276,0.704,147.211,audio_features,0SPBrxOUEMIKugXR4bFhxs,spotify:track:0SPBrxOUEMIKugXR4bFhxs,https://api.spotify.com/v1/tracks/0SPBrxOUEMIKugXR4bFhxs,https://api.spotify.com/v1/audio-analysis/0SPBrxOUEMIKugXR4bFhxs,198707,4
82,0.591,0.87,7,-6.381,1,0.0652,0.409,0.0,0.718,0.747,121.682,audio_features,3YSfGJNDtF8KrHlwCAaVns,spotify:track:3YSfGJNDtF8KrHlwCAaVns,https://api.spotify.com/v1/tracks/3YSfGJNDtF8KrHlwCAaVns,https://api.spotify.com/v1/audio-analysis/3YSfGJNDtF8KrHlwCAaVns,227600,4
83,0.435,0.666,6,-10.596,1,0.031,0.254,1.4e-05,0.0541,0.566,176.431,audio_features,2o4u19nlQWOGg5mLanT7Pg,spotify:track:2o4u19nlQWOGg5mLanT7Pg,https://api.spotify.com/v1/tracks/2o4u19nlQWOGg5mLanT7Pg,https://api.spotify.com/v1/audio-analysis/2o4u19nlQWOGg5mLanT7Pg,232640,4
84,0.708,0.856,9,-5.4,1,0.0537,0.0287,8.46e-05,0.0727,0.902,128.518,audio_features,7dEKwMoUZCpvUFLLuJQjju,spotify:track:7dEKwMoUZCpvUFLLuJQjju,https://api.spotify.com/v1/tracks/7dEKwMoUZCpvUFLLuJQjju,https://api.spotify.com/v1/audio-analysis/7dEKwMoUZCpvUFLLuJQjju,241107,4
85,0.511,0.912,1,-5.618,1,0.0594,0.0247,0.0553,0.0943,0.833,131.339,audio_features,0UCg6lnG2MXpuEpf8Pk1MV,spotify:track:0UCg6lnG2MXpuEpf8Pk1MV,https://api.spotify.com/v1/tracks/0UCg6lnG2MXpuEpf8Pk1MV,https://api.spotify.com/v1/audio-analysis/0UCg6lnG2MXpuEpf8Pk1MV,190867,4
86,0.681,0.773,2,-6.051,1,0.058,0.181,1.84e-05,0.311,0.547,120.276,audio_features,3cXiUuiGpFmZ8OdAWKk8Ck,spotify:track:3cXiUuiGpFmZ8OdAWKk8Ck,https://api.spotify.com/v1/tracks/3cXiUuiGpFmZ8OdAWKk8Ck,https://api.spotify.com/v1/audio-analysis/3cXiUuiGpFmZ8OdAWKk8Ck,236640,4
87,0.679,0.866,0,-6.053,1,0.0635,0.00376,3.1e-05,0.312,0.785,124.324,audio_features,1brpdmqkx3kSxyqzqXfW7J,spotify:track:1brpdmqkx3kSxyqzqXfW7J,https://api.spotify.com/v1/tracks/1brpdmqkx3kSxyqzqXfW7J,https://api.spotify.com/v1/audio-analysis/1brpdmqkx3kSxyqzqXfW7J,201400,4
88,0.479,0.847,0,-11.036,0,0.0984,0.00884,0.000206,0.144,0.317,90.654,audio_features,3uz0O62HqYoyRiWZjS61KK,spotify:track:3uz0O62HqYoyRiWZjS61KK,https://api.spotify.com/v1/tracks/3uz0O62HqYoyRiWZjS61KK,https://api.spotify.com/v1/audio-analysis/3uz0O62HqYoyRiWZjS61KK,228560,4
89,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,audio_features,6KTv0Z8BmVqM7DPxbGzpVC,spotify:track:6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/tracks/6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/audio-analysis/6KTv0Z8BmVqM7DPxbGzpVC,168840,4
90,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,audio_features,07q0QVgO56EorrSGHC48y3,spotify:track:07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/tracks/07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/audio-analysis/07q0QVgO56EorrSGHC48y3,271240,4
91,0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031,audio_features,1xsYj84j7hUDDnTTerGWlH,spotify:track:1xsYj84j7hUDDnTTerGWlH,https://api.spotify.com/v1/tracks/1xsYj84j7hUDDnTTerGWlH,https://api.spotify.com/v1/audio-analysis/1xsYj84j7hUDDnTTerGWlH,267597,4
92,0.473,0.768,0,-4.708,1,0.037,0.00994,0.0,0.145,0.826,171.669,audio_features,0Xl2pAlIRE6ANULPdEI7fx,spotify:track:0Xl2pAlIRE6ANULPdEI7fx,https://api.spotify.com/v1/tracks/0Xl2pAlIRE6ANULPdEI7fx,https://api.spotify.com/v1/audio-analysis/0Xl2pAlIRE6ANULPdEI7fx,235474,4
93,0.579,0.954,4,-3.947,1,0.0558,0.583,0.0,0.139,0.583,93.448,audio_features,2KCJYwlBWxdlwyIYckIf6V,spotify:track:2KCJYwlBWxdlwyIYckIf6V,https://api.spotify.com/v1/tracks/2KCJYwlBWxdlwyIYckIf6V,https://api.spotify.com/v1/audio-analysis/2KCJYwlBWxdlwyIYckIf6V,265693,4
94,0.308,0.747,0,-5.434,1,0.037,0.0645,8.27e-05,0.431,0.278,139.454,audio_features,6beFuzSjwhOKFZp2aqYDdY,spotify:track:6beFuzSjwhOKFZp2aqYDdY,https://api.spotify.com/v1/tracks/6beFuzSjwhOKFZp2aqYDdY,https://api.spotify.com/v1/audio-analysis/6beFuzSjwhOKFZp2aqYDdY,356160,4
95,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,audio_features,6gQUbFwwdYXlKdmqRoWKJe,spotify:track:6gQUbFwwdYXlKdmqRoWKJe,https://api.spotify.com/v1/tracks/6gQUbFwwdYXlKdmqRoWKJe,https://api.spotify.com/v1/audio-analysis/6gQUbFwwdYXlKdmqRoWKJe,265773,4
96,0.445,0.856,9,-3.674,1,0.0327,0.000202,0.0101,0.367,0.486,105.872,audio_features,0NJC0FDCODpPUntRTTQq97,spotify:track:0NJC0FDCODpPUntRTTQq97,https://api.spotify.com/v1/tracks/0NJC0FDCODpPUntRTTQq97,https://api.spotify.com/v1/audio-analysis/0NJC0FDCODpPUntRTTQq97,308333,3
97,0.379,0.76,9,-10.961,1,0.0378,0.00298,0.0296,0.104,0.491,99.436,audio_features,73TxYZd0lBCVRrHawrAglA,spotify:track:73TxYZd0lBCVRrHawrAglA,https://api.spotify.com/v1/tracks/73TxYZd0lBCVRrHawrAglA,https://api.spotify.com/v1/audio-analysis/73TxYZd0lBCVRrHawrAglA,274088,4
98,0.37,0.866,6,-3.879,0,0.0384,0.0868,0.0,0.137,0.427,162.086,audio_features,74irxdVWstNlEQjsvArITq,spotify:track:74irxdVWstNlEQjsvArITq,https://api.spotify.com/v1/tracks/74irxdVWstNlEQjsvArITq,https://api.spotify.com/v1/audio-analysis/74irxdVWstNlEQjsvArITq,316693,3
99,0.653,0.73,5,-10.613,1,0.0429,0.0115,1.02e-05,0.0776,0.894,108.709,audio_features,4JfuiOWlWCkjP6OKurHjSn,spotify:track:4JfuiOWlWCkjP6OKurHjSn,https://api.spotify.com/v1/tracks/4JfuiOWlWCkjP6OKurHjSn,https://api.spotify.com/v1/audio-analysis/4JfuiOWlWCkjP6OKurHjSn,220311,4
100,0.39,0.649,2,-5.163,1,0.0345,0.172,0.0,0.216,0.144,121.161,audio_features,5qlJg0Wbj3sslxfwiaRNpq,spotify:track:5qlJg0Wbj3sslxfwiaRNpq,https://api.spotify.com/v1/tracks/5qlJg0Wbj3sslxfwiaRNpq,https://api.spotify.com/v1/audio-analysis/5qlJg0Wbj3sslxfwiaRNpq,299723,4
101,0.476,0.331,5,-14.884,1,0.0305,0.31,2.82e-06,0.172,0.24,130.574,audio_features,43thLwzSasUUZEYjYPeJh3,spotify:track:43thLwzSasUUZEYjYPeJh3,https://api.spotify.com/v1/tracks/43thLwzSasUUZEYjYPeJh3,https://api.spotify.com/v1/audio-analysis/43thLwzSasUUZEYjYPeJh3,283133,4
102,0.493,0.636,1,-7.408,1,0.0256,0.0629,2.49e-06,0.0921,0.279,79.419,audio_features,78PKCefXwDLbl4FVO1Pjzh,spotify:track:78PKCefXwDLbl4FVO1Pjzh,https://api.spotify.com/v1/tracks/78PKCefXwDLbl4FVO1Pjzh,https://api.spotify.com/v1/audio-analysis/78PKCefXwDLbl4FVO1Pjzh,284907,4
103,0.318,0.87,5,-4.246,1,0.0652,0.000195,0.192,0.133,0.297,169.906,audio_features,3YYnFEXCLNbaWuC0hIEnIS,spotify:track:3YYnFEXCLNbaWuC0hIEnIS,https://api.spotify.com/v1/tracks/3YYnFEXCLNbaWuC0hIEnIS,https://api.spotify.com/v1/audio-analysis/3YYnFEXCLNbaWuC0hIEnIS,441402,4
104,0.581,0.791,6,-7.262,1,0.0324,0.00835,6.02e-05,0.142,0.619,123.887,audio_features,31dqpLUModJWNbxrXu6TWd,spotify:track:31dqpLUModJWNbxrXu6TWd,https://api.spotify.com/v1/tracks/31dqpLUModJWNbxrXu6TWd,https://api.spotify.com/v1/audio-analysis/31dqpLUModJWNbxrXu6TWd,256293,3
105,0.307,0.748,2,-6.514,0,0.0568,0.212,0.000153,0.368,0.347,108.227,audio_features,2ov8L95QD25TLpZAZPYWXL,spotify:track:2ov8L95QD25TLpZAZPYWXL,https://api.spotify.com/v1/tracks/2ov8L95QD25TLpZAZPYWXL,https://api.spotify.com/v1/audio-analysis/2ov8L95QD25TLpZAZPYWXL,302648,4
106,0.303,0.961,9,-5.333,0,0.243,0.00253,6.2e-05,0.132,0.305,146.591,audio_features,2E7W1X4maFFcjHrVrFA7Vs,spotify:track:2E7W1X4maFFcjHrVrFA7Vs,https://api.spotify.com/v1/tracks/2E7W1X4maFFcjHrVrFA7Vs,https://api.spotify.com/v1/audio-analysis/2E7W1X4maFFcjHrVrFA7Vs,257120,4
107,0.578,0.937,5,-3.926,1,0.0724,0.000963,2.25e-06,0.4,0.769,137.937,audio_features,5axOkQnmQmwtjr4bv1Xt7i,spotify:track:5axOkQnmQmwtjr4bv1Xt7i,https://api.spotify.com/v1/tracks/5axOkQnmQmwtjr4bv1Xt7i,https://api.spotify.com/v1/audio-analysis/5axOkQnmQmwtjr4bv1Xt7i,239827,4
108,0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,audio_features,0S3gpZzlT9Hb7CCSV2owX7,spotify:track:0S3gpZzlT9Hb7CCSV2owX7,https://api.spotify.com/v1/tracks/0S3gpZzlT9Hb7CCSV2owX7,https://api.spotify.com/v1/audio-analysis/0S3gpZzlT9Hb7CCSV2owX7,251867,4
109,0.346,0.749,6,-6.506,1,0.035,0.00167,8.86e-05,0.648,0.315,102.591,audio_features,7w6PJe5KBPyvuRYxFkPssC,spotify:track:7w6PJe5KBPyvuRYxFkPssC,https://api.spotify.com/v1/tracks/7w6PJe5KBPyvuRYxFkPssC,https://api.spotify.com/v1/audio-analysis/7w6PJe5KBPyvuRYxFkPssC,443240,4
110,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,audio_features,7ACxUo21jtTHzy7ZEV56vU,spotify:track:7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/tracks/7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/audio-analysis/7ACxUo21jtTHzy7ZEV56vU,293183,4
111,0.633,0.823,5,-5.792,1,0.0287,0.0516,0.000496,0.188,0.444,115.107,audio_features,5fMwvrqujbQjUxcNPcYrUF,spotify:track:5fMwvrqujbQjUxcNPcYrUF,https://api.spotify.com/v1/tracks/5fMwvrqujbQjUxcNPcYrUF,https://api.spotify.com/v1/audio-analysis/5fMwvrqujbQjUxcNPcYrUF,330533,4
112,0.262,0.777,11,-8.671,1,0.0632,0.0109,0.113,0.12,0.264,152.5,audio_features,0rFWuqFgHAfuzE8uSB9TWR,spotify:track:0rFWuqFgHAfuzE8uSB9TWR,https://api.spotify.com/v1/tracks/0rFWuqFgHAfuzE8uSB9TWR,https://api.spotify.com/v1/audio-analysis/0rFWuqFgHAfuzE8uSB9TWR,182733,4
113,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315,audio_features,6eN1f9KNmiWEhpE2RhQqB5,spotify:track:6eN1f9KNmiWEhpE2RhQqB5,https://api.spotify.com/v1/tracks/6eN1f9KNmiWEhpE2RhQqB5,https://api.spotify.com/v1/audio-analysis/6eN1f9KNmiWEhpE2RhQqB5,405600,4
114,0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056,audio_features,0oerlffJSzhRVvtDfLcp3N,spotify:track:0oerlffJSzhRVvtDfLcp3N,https://api.spotify.com/v1/tracks/0oerlffJSzhRVvtDfLcp3N,https://api.spotify.com/v1/audio-analysis/0oerlffJSzhRVvtDfLcp3N,308667,4
115,0.336,0.787,10,-8.803,0,0.0732,0.0793,0.0648,0.32,0.383,140.003,audio_features,6i4Qi1mJxXjqNIL9HfJhRs,spotify:track:6i4Qi1mJxXjqNIL9HfJhRs,https://api.spotify.com/v1/tracks/6i4Qi1mJxXjqNIL9HfJhRs,https://api.spotify.com/v1/audio-analysis/6i4Qi1mJxXjqNIL9HfJhRs,462093,4
116,0.53,0.864,4,-4.948,0,0.061,0.000753,0.000459,0.354,0.484,166.312,audio_features,4TIJ7zSBNejpoIPaWpWRKc,spotify:track:4TIJ7zSBNejpoIPaWpWRKc,https://api.spotify.com/v1/tracks/4TIJ7zSBNejpoIPaWpWRKc,https://api.spotify.com/v1/audio-analysis/4TIJ7zSBNejpoIPaWpWRKc,288533,4
117,0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,audio_features,1Dr1fXbc2IxaK1Mu8P8Khz,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/tracks/1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/audio-analysis/1Dr1fXbc2IxaK1Mu8P8Khz,178000,4
118,0.649,0.903,7,-3.677,1,0.0318,0.000841,0.000351,0.122,0.412,121.841,audio_features,5u5F7qLDvZjBSktaDp4HxB,spotify:track:5u5F7qLDvZjBSktaDp4HxB,https://api.spotify.com/v1/tracks/5u5F7qLDvZjBSktaDp4HxB,https://api.spotify.com/v1/audio-analysis/5u5F7qLDvZjBSktaDp4HxB,225947,4
119,0.399,0.881,2,-4.341,1,0.0347,0.0019,0.00429,0.39,0.272,84.58,audio_features,4avSaixVwu8uqfSs7zgoj3,spotify:track:4avSaixVwu8uqfSs7zgoj3,https://api.spotify.com/v1/tracks/4avSaixVwu8uqfSs7zgoj3,https://api.spotify.com/v1/audio-analysis/4avSaixVwu8uqfSs7zgoj3,380893,4
120,0.559,0.543,1,-5.429,1,0.302,0.00133,2e-05,0.0577,0.337,75.958,audio_features,1nLnpLXvl68RZCSjfkyiaa,spotify:track:1nLnpLXvl68RZCSjfkyiaa,https://api.spotify.com/v1/tracks/1nLnpLXvl68RZCSjfkyiaa,https://api.spotify.com/v1/audio-analysis/1nLnpLXvl68RZCSjfkyiaa,193000,4
121,0.29,0.827,8,-3.451,1,0.0362,0.000659,2.55e-06,0.301,0.45,167.086,audio_features,0MsrWnxQZxPAcov7c74sSo,spotify:track:0MsrWnxQZxPAcov7c74sSo,https://api.spotify.com/v1/tracks/0MsrWnxQZxPAcov7c74sSo,https://api.spotify.com/v1/audio-analysis/0MsrWnxQZxPAcov7c74sSo,493400,4
122,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,audio_features,64yrDBpcdwEdNY9loyEGbX,spotify:track:64yrDBpcdwEdNY9loyEGbX,https://api.spotify.com/v1/tracks/64yrDBpcdwEdNY9loyEGbX,https://api.spotify.com/v1/audio-analysis/64yrDBpcdwEdNY9loyEGbX,321093,4
123,0.552,0.89,8,-3.409,1,0.0342,0.000143,0.0,0.888,0.716,146.525,audio_features,4VgEM12OeaN3GyBV487Me7,spotify:track:4VgEM12OeaN3GyBV487Me7,https://api.spotify.com/v1/tracks/4VgEM12OeaN3GyBV487Me7,https://api.spotify.com/v1/audio-analysis/4VgEM12OeaN3GyBV487Me7,232680,4
124,0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,audio_features,1Dr1fXbc2IxaK1Mu8P8Khz,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/tracks/1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/audio-analysis/1Dr1fXbc2IxaK1Mu8P8Khz,178000,4
125,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,audio_features,3ZffCQKLFLUvYM59XKLbVm,spotify:track:3ZffCQKLFLUvYM59XKLbVm,https://api.spotify.com/v1/tracks/3ZffCQKLFLUvYM59XKLbVm,https://api.spotify.com/v1/audio-analysis/3ZffCQKLFLUvYM59XKLbVm,285653,4
126,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,audio_features,6ORqU0bHbVCRjXm9AjyHyZ,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/audio-analysis/6ORqU0bHbVCRjXm9AjyHyZ,153467,4
