,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
34,0.48,0.956,7,-2.649,1,0.0765,0.000247,0.00155,0.0425,0.651,75.99,241720,3,1
35,0.519,0.85,6,-4.678,0,0.0354,0.000246,0.014,0.279,0.211,132.022,218013,4,1
36,0.645,0.946,4,-2.486,1,0.0669,0.000308,0.0969,0.0226,0.849,132.962,180560,4,1
37,0.557,0.862,0,-4.029,1,0.0636,0.000416,0.000314,0.0577,0.531,174.114,214707,4,1
38,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,238173,4,1
39,0.441,0.815,3,-4.088,1,0.0276,0.000731,0.0,0.414,0.522,164.007,219320,4,1
40,0.572,0.961,7,-3.089,1,0.0625,0.000734,0.021,0.207,0.818,76.998,186600,4,1
41,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,258920,4,1
42,0.455,0.922,10,-4.499,0,0.0401,4.42e-05,0.000663,0.067,0.748,169.819,224280,4,1
43,0.568,0.932,0,-3.671,1,0.0522,1.04e-05,0.0991,0.0664,0.668,140.11,260333,4,1
44,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,223840,4,1
45,0.617,0.922,11,-3.474,1,0.0744,0.000247,0.388,0.363,0.6,132.059,212347,4,1
46,0.766,0.725,9,-4.991,1,0.0369,0.0107,8.23e-05,0.0237,0.741,100.008,237667,4,1
47,0.455,0.858,11,-5.659,0,0.0391,0.000616,0.000247,0.226,0.597,163.118,207467,4,1
48,0.485,0.911,3,-5.749,1,0.0355,8.67e-05,0.0,0.092,0.568,89.956,249067,4,1
49,0.508,0.832,11,-4.395,1,0.032,0.000372,0.0,0.0859,0.404,136.004,228107,4,1
50,0.455,0.858,11,-5.659,0,0.0391,0.000616,0.000247,0.226,0.597,163.118,207467,4,1
51,0.264,0.294,7,-11.941,0,0.028,0.772,0.686,0.107,0.0402,137.937,811077,3,1
52,0.587,0.302,0,-14.976,1,0.0293,0.223,0.00216,0.128,0.19,112.46,278441,4,1
53,0.324,0.265,2,-13.398,1,0.0302,0.0732,0.341,0.366,0.208,133.568,226667,4,1
54,0.359,0.48,9,-11.79,1,0.0841,0.521,0.0043,0.178,0.355,120.285,413947,4,1
55,0.468,0.536,11,-10.422,0,0.144,0.024,0.00199,0.269,0.785,126.256,382834,1,1
56,0.431,0.373,11,-15.142,0,0.0346,0.389,0.728,0.143,0.253,128.153,169535,4,1
57,0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,382297,4,1
58,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,334744,4,1
59,0.274,0.217,5,-13.814,1,0.0345,0.767,0.896,0.0832,0.181,116.334,283872,4,1
60,0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,238747,4,1
61,0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,250907,4,1
62,0.234,0.865,9,-5.131,1,0.0516,3.62e-05,0.000532,0.289,0.194,137.107,255960,4,1
63,0.401,0.953,4,-4.276,1,0.0752,1.83e-05,2.56e-05,0.149,0.555,174.217,231480,4,1
64,0.376,0.908,4,-3.793,0,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.581,265560,4,1
65,0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,263440,4,1
66,0.398,0.927,9,-4.212,1,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,260027,4,1
67,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,255627,4,1
68,0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293,4,1
